[10:31:53] CPU: 22.5243% | Memory: 87% | WARNING: Memory high!
[10:31:54] CPU: 22.8519% | Memory: 87% | WARNING: Memory high!
[10:31:55] CPU: 37.428% | Memory: 87% | WARNING: Memory high!
[10:31:56] CPU: 23.8921% | Memory: 87% | WARNING: Memory high!
[10:31:57] CPU: 27.5862% | Memory: 87% | WARNING: Memory high!
[10:31:58] CPU: 22.093% | Memory: 87% | WARNING: Memory high!
[10:31:59] CPU: 20.5769% | Memory: 87% | WARNING: Memory high!
[10:44:32] CPU: 8.10811% | Memory: 86% | WARNING: Memory high!
[10:44:33] CPU: 6.25% | Memory: 86% | WARNING: Memory high!
[10:44:34] CPU: 16.1228% | Memory: 86% | WARNING: Memory high!
[10:57:40] CPU: 17.3745% | Memory: 86% | WARNING: Memory high!
[10:57:41] CPU: 6.03291% | Memory: 86% | WARNING: Memory high!
[10:57:42] CPU: 12.4294% | Memory: 86% | WARNING: Memory high!
[10:57:43] CPU: 5.05837% | Memory: 86% | WARNING: Memory high!
