[18:41:20] CPU: 17.5781% | Memory: 90% | WARNING: Memory high!
[18:41:59] CPU: 30.6641% | Memory: 90% | WARNING: Memory high!
[18:42:00] CPU: 39.2308% | Memory: 90% | WARNING: Memory high!
[18:42:01] CPU: 27.2727% | Memory: 90% | WARNING: Memory high!
[18:42:02] CPU: 11.2811% | Memory: 90% | WARNING: Memory high!
[18:42:03] CPU: 11.5385% | Memory: 90% | WARNING: Memory high!
[18:42:04] CPU: 16.5385% | Memory: 91% | WARNING: Memory high!
[18:42:05] CPU: 26.1538% | Memory: 91% | WARNING: Memory high!
[18:42:06] CPU: 19.3359% | Memory: 89% | WARNING: Memory high!
[18:42:07] CPU: 10.5769% | Memory: 89% | WARNING: Memory high!
[18:42:08] CPU: 10.1562% | Memory: 89% | WARNING: Memory high!
[10:28:50] CPU: 11.6054% | Memory: 83%
[10:28:52] CPU: 10.9689% | Memory: 83%
[10:28:53] CPU: 10.7692% | Memory: 83%
[10:28:54] CPU: 22.0503% | Memory: 83%
[10:28:55] CPU: 8.09249% | Memory: 83%
[10:28:56] CPU: 9.54198% | Memory: 83%
[10:32:59] CPU: 22.0273% | Memory: 85%
[10:33:00] CPU: 26.1364% | Memory: 85%
[10:33:01] CPU: 32.1154% | Memory: 85%
[10:33:02] CPU: 23.8462% | Memory: 85%
[10:33:03] CPU: 22.3092% | Memory: 85%
[10:33:04] CPU: 18.5687% | Memory: 85%
[10:33:05] CPU: 19.6565% | Memory: 85%
